time(s),bpm
3.73,65.15
3.76,65.81
3.79,65.09
3.82,65.71
3.86,65.03
3.89,65.64
3.92,64.94
3.95,65.57
3.98,64.80
4.03,65.39
4.06,64.67
4.10,65.29
4.13,64.61
4.16,65.26
4.19,64.53
4.22,65.13
4.26,64.44
4.29,65.07
4.32,64.34
4.35,64.92
4.40,64.25
4.43,64.83
4.46,64.15
4.50,64.77
4.53,64.04
4.56,64.66
4.59,63.99
4.62,64.51
4.66,63.85
4.69,64.45
4.72,63.75
4.77,64.33
4.80,63.68
4.83,64.28
4.86,63.62
4.90,64.27
4.93,63.61
4.96,64.20
4.99,63.53
5.02,64.11
5.06,63.44
5.10,63.99
5.14,63.34
5.17,63.91
5.20,63.27
5.23,63.85
5.26,63.19
5.30,63.78
5.33,63.13
5.36,63.74
5.39,63.09
5.42,63.65
5.47,63.01
5.50,63.58
5.54,62.92
5.57,63.47
5.60,62.83
5.63,63.40
5.66,62.75
5.70,63.35
5.73,62.69
5.76,63.25
5.79,62.62
5.84,63.22
5.87,62.54
5.90,63.12
5.94,62.22
5.97,62.68
6.00,62.02
6.03,62.59
6.06,61.94
6.10,62.51
6.13,61.87
6.17,62.42
6.21,61.79
6.24,62.35
6.27,61.74
6.30,62.31
6.34,61.69
6.37,62.24
6.40,61.64
6.43,62.24
6.46,61.63
6.50,62.14
6.54,61.52
6.58,62.06
6.61,61.43
6.64,61.99
6.67,61.35
6.70,61.87
6.74,61.25
6.77,61.79
6.80,61.17
6.83,61.74
6.86,61.11
6.91,61.68
6.94,61.04
6.98,61.56
7.01,60.92
7.04,61.42
7.07,60.79
7.10,61.44
7.14,60.83
7.17,61.43
7.20,121.67
7.25,61.42
7.28,121.66
7.31,107.64
7.34,106.56
7.38,107.70
7.41,106.63
7.44,107.68
7.47,106.63
7.50,107.76
7.54,106.71
7.57,107.74
7.61,106.67
7.65,107.81
7.68,106.71
7.71,107.78
7.74,106.73
7.78,107.82
7.81,106.74
7.84,107.88
7.87,106.79
7.90,107.82
7.94,106.73
7.98,107.88
8.02,106.82
8.05,107.94
8.08,91.59
8.11,92.51
8.14,91.59
8.18,92.49
8.21,91.55
8.24,92.46
8.27,91.55
8.32,92.49
8.35,91.55
8.38,92.50
8.42,91.57
8.45,92.49
8.48,91.57
8.51,92.44
8.54,91.40
8.58,76.88
8.61,76.13
8.64,76.87
8.69,76.09
8.72,76.84
8.75,76.09
8.78,76.82
8.82,76.08
8.85,76.83
8.88,76.09
8.91,76.84
8.94,76.09
8.98,76.81
9.02,76.06
9.06,76.81
9.09,76.04
9.12,76.79
9.15,76.04
9.18,76.82
9.22,76.04
9.25,77.11
9.28,76.33
9.31,77.23
9.34,76.46
9.39,77.25
9.42,76.46
9.46,77.24
9.49,76.46
9.52,61.75
9.55,61.10
9.58,61.72
9.62,61.10
9.65,61.70
9.68,61.08
9.71,61.70
9.76,61.07
9.79,61.69
9.82,61.06
9.86,61.69
9.89,61.10
9.92,61.71
9.95,61.11
9.98,61.73
10.02,61.11
10.05,61.75
10.09,61.12
10.13,61.74
10.16,61.11
10.19,61.72
10.22,61.11
10.26,61.75
10.29,61.12
10.32,61.78
10.35,61.19
10.38,61.83
10.42,61.23
10.46,61.84
10.50,61.15
10.53,61.55
10.56,60.90
10.59,61.53
10.62,60.89
10.66,61.52
10.69,60.90
10.72,61.49
10.75,60.86
10.78,61.47
10.83,60.87
10.86,61.48
10.90,60.85
10.93,61.47
10.96,60.85
10.99,61.46
11.02,60.85
11.06,61.46
11.09,60.83
11.12,61.45
11.17,60.85
11.20,61.48
11.23,60.88
11.26,61.48
11.30,60.85
11.33,61.46
11.36,60.87
11.39,61.47
11.42,60.84
11.46,61.43
11.49,60.84
11.53,61.45
11.57,60.83
11.60,61.42
11.63,60.83
11.66,61.43
11.70,60.83
11.73,61.44
11.76,60.84
11.79,61.45
11.82,60.85
11.86,61.56
11.90,60.94
11.94,61.59
11.97,60.98
12.00,61.62
12.03,61.00
12.06,61.56
12.10,60.95
12.13,61.54
12.16,60.92
12.19,61.55
12.24,60.91
12.27,61.51
12.30,60.90
12.34,61.53
12.37,60.93
12.40,61.56
12.43,60.94
12.46,61.55
12.50,60.94
12.53,61.58
12.56,60.97
12.61,61.58
12.64,60.97
12.67,61.61
12.70,60.99
12.74,61.59
12.77,60.98
12.80,61.60
12.83,60.99
12.86,61.63
12.90,61.01
12.93,107.84
12.97,61.01
13.01,107.83
13.04,106.78
13.07,107.78
13.10,106.73
13.14,107.76
13.17,106.73
13.20,107.73
13.23,106.67
13.26,107.66
13.31,106.61
13.34,107.61
13.38,106.56
13.41,107.60
13.44,106.57
13.47,107.69
13.50,106.62
13.54,107.69
13.57,106.64
13.60,107.68
13.63,106.63
13.68,107.60
13.71,106.50
13.74,107.55
13.78,106.43
13.81,107.52
13.84,106.40
13.87,92.50
13.90,91.57
13.94,92.51
13.97,91.59
14.00,92.50
14.05,91.61
14.08,92.55
14.11,91.65
14.14,92.53
14.18,91.60
14.21,92.52
14.24,91.61
14.27,92.56
14.30,91.63
14.34,92.53
14.38,91.61
14.42,92.54
14.45,91.63
14.48,92.54
14.51,91.60
14.54,92.48
14.58,91.56
14.61,92.53
14.64,91.63
14.67,77.10
14.70,76.33
14.75,77.12
14.78,76.33
14.82,77.05
14.85,76.30
14.88,77.12
14.91,76.35
14.94,77.07
14.98,76.32
15.01,77.01
15.04,76.26
15.07,77.00
15.12,76.22
15.15,76.93
15.18,76.18
15.22,61.58
15.25,60.95
15.28,61.53
15.31,60.93
15.34,61.50
15.38,60.90
15.41,61.56
15.45,60.95
15.49,61.57
15.52,60.83
15.55,61.30
15.58,60.63
15.62,61.23
15.65,60.57
15.68,61.17
15.71,106.02
15.74,107.11
15.78,106.05
15.82,107.11
15.86,106.04
15.89,122.36
15.92,121.13
15.95,122.37
15.98,121.17
16.02,122.36
16.05,121.08
16.08,122.36
16.11,121.17
16.14,122.30
16.19,121.11
16.22,122.38
16.26,121.16
16.29,122.35
16.32,121.14
16.35,107.00
16.38,105.97
16.42,107.07
16.45,106.01
16.48,107.06
16.53,121.17
16.56,107.05
16.59,121.12
16.62,107.10
16.66,106.06
16.69,107.16
16.72,151.61
16.75,153.00
16.78,151.52
16.82,153.03
16.85,151.57
16.89,152.95
16.93,151.42
16.96,152.98
16.99,151.47
17.02,153.07
17.06,151.58
17.09,153.20
17.12,151.71
17.15,153.43
17.18,151.90
17.22,153.41
17.26,151.87
17.30,153.39
17.33,151.85
17.36,153.31
17.39,151.82
17.42,153.36
17.46,151.82
17.49,153.33
17.52,151.82
17.55,153.36
17.60,151.82
17.63,153.31
17.66,60.69
17.70,61.30
17.73,60.70
17.76,122.59
17.79,121.32
17.82,137.85
17.86,136.47
17.89,137.81
17.92,136.38
17.97,137.61
18.00,136.18
18.03,137.54
18.06,136.18
18.10,137.59
18.13,136.25
18.16,122.26
18.19,136.21
18.22,122.28
18.26,121.08
18.29,122.30
18.33,121.01
18.37,122.34
18.40,136.22
18.43,122.30
18.46,121.12
18.50,122.37
18.53,121.19
18.56,122.43
18.59,121.14
18.62,122.37
18.67,121.14
18.70,107.14
18.74,106.07
18.77,107.13
18.80,106.05
18.83,107.36
18.86,106.31
18.90,107.76
18.93,106.69
18.96,107.87
18.99,106.78
19.04,107.85
19.07,106.80
19.10,92.42
19.14,91.51
19.17,92.42
19.20,91.49
19.23,92.32
19.26,91.40
19.30,92.32
19.33,91.36
19.37,92.31
19.41,91.39
19.44,92.28
19.47,76.14
19.50,76.89
19.54,76.09
19.57,76.86
19.60,76.09
19.63,76.84
19.66,76.06
19.70,76.85
19.74,76.08
19.78,76.83
19.81,76.07
19.84,76.82
19.87,75.81
19.90,76.33
19.94,75.54
19.97,76.23
20.00,75.48
20.03,60.96
20.06,60.35
20.11,60.98
20.14,60.37
20.18,60.97
20.21,60.38
20.24,60.98
20.27,60.38
20.30,60.97
20.34,60.38
20.37,60.97
20.40,60.38
20.45,60.97
20.48,60.36
20.51,60.96
20.54,60.36
20.58,60.96
20.61,60.35
20.64,60.93
20.67,60.34
20.70,60.95
20.74,60.35
20.77,60.97
20.81,60.36
20.85,60.98
20.88,60.38
20.91,60.97
20.94,60.38
20.98,61.01
21.01,60.38
21.04,60.99
21.07,60.39
21.10,61.04
21.14,60.43
21.18,61.05
21.22,60.43
21.25,61.10
21.28,60.49
21.31,61.15
21.34,60.54
21.38,91.71
21.41,90.81
21.44,91.70
21.47,90.81
21.52,91.76
21.55,90.84
21.58,91.72
21.62,90.80
21.65,91.76
21.68,90.84
21.71,91.78
21.74,90.87
21.78,91.73
21.81,90.84
21.84,91.73
21.89,90.81
21.92,91.76
21.95,90.86
21.98,91.78
22.02,90.89
22.05,91.74
22.08,90.84
22.11,91.76
22.14,90.90
22.18,91.79
22.21,90.87
22.25,91.78
22.29,90.87
22.32,91.70
22.35,90.82
22.38,91.70
22.42,90.75
22.45,91.69
22.48,90.74
22.51,91.62
22.54,90.74
22.59,91.73
22.62,90.80
22.66,91.75
