time(s),bpm
3.73,62.19
3.76,62.79
3.79,62.12
3.82,62.65
3.86,61.99
3.89,62.55
3.92,61.91
3.95,62.48
3.98,61.84
4.03,62.42
4.06,61.78
4.10,62.32
4.13,61.68
4.16,62.25
4.19,61.62
4.22,62.20
4.26,61.57
4.29,62.21
4.32,61.50
4.35,62.03
4.40,61.40
4.43,61.94
4.46,61.31
4.50,61.88
4.53,61.26
4.56,61.86
4.59,61.22
4.62,61.73
4.66,61.08
4.69,61.62
4.72,61.01
4.77,61.56
4.80,60.91
4.83,61.45
4.86,60.83
4.90,61.40
4.93,60.78
4.96,61.32
4.99,60.70
5.02,61.21
5.06,60.58
5.10,61.15
5.14,60.53
5.17,61.09
5.20,60.46
5.23,60.99
5.26,60.35
5.30,60.88
5.33,60.25
5.36,60.79
5.39,60.18
5.42,60.72
5.47,60.10
5.50,60.59
5.54,59.98
5.57,60.51
5.60,59.89
5.63,60.66
5.66,60.05
5.70,60.73
5.73,60.12
5.76,60.71
5.79,60.09
5.84,60.64
5.87,60.03
5.90,60.55
5.94,59.94
5.97,60.49
6.00,59.86
6.03,60.39
6.06,59.78
6.10,60.30
6.13,59.70
6.17,60.24
6.21,59.64
6.24,60.16
6.27,59.54
6.30,60.04
6.34,59.45
6.37,60.07
6.40,59.46
6.43,60.03
6.46,59.44
6.50,60.00
6.54,59.41
6.58,59.94
6.61,59.34
6.64,59.92
6.67,59.32
6.70,59.86
6.74,59.25
6.77,59.80
6.80,59.21
6.83,59.81
6.86,59.22
6.91,159.41
6.94,59.20
6.98,159.14
7.01,59.03
7.04,119.20
7.07,118.00
7.10,119.25
7.14,118.10
7.17,119.30
7.20,118.13
7.25,119.34
7.28,118.14
7.31,119.34
7.34,118.17
7.38,119.33
7.41,118.16
7.44,119.29
7.47,118.14
7.50,119.28
7.54,118.07
7.57,119.26
7.61,117.68
7.65,118.67
7.68,117.43
7.71,118.57
7.74,117.38
7.78,98.84
7.81,97.83
7.84,98.81
7.87,97.84
7.90,98.83
7.94,97.73
7.98,98.78
8.02,97.79
8.05,98.75
8.08,97.78
8.11,98.80
8.14,97.84
8.18,98.84
8.21,97.84
8.24,98.83
8.27,97.83
8.32,98.86
8.35,97.87
8.38,79.08
8.42,78.30
8.45,79.05
8.48,78.25
8.51,79.05
8.54,78.28
8.58,79.12
8.61,78.32
8.64,79.09
8.69,78.25
8.72,79.03
8.75,78.26
8.78,79.02
8.82,78.24
8.85,79.05
8.88,78.26
8.91,79.04
8.94,78.27
8.98,79.05
9.02,78.29
9.06,79.03
9.09,78.24
9.12,79.01
9.15,78.23
9.18,79.02
9.22,78.18
9.25,79.00
9.28,78.22
9.31,79.00
9.34,78.20
9.39,78.96
9.42,78.14
9.46,59.19
9.49,78.14
9.52,59.17
9.55,58.59
9.58,59.19
9.62,58.57
9.65,59.16
9.68,58.56
9.71,59.14
9.76,58.53
9.79,58.99
9.82,58.39
9.86,58.99
9.89,58.39
9.92,59.00
9.95,58.42
9.98,58.94
10.02,58.36
10.05,58.94
10.09,58.36
10.13,58.93
10.16,58.36
10.19,58.91
10.22,58.34
10.26,58.89
10.29,58.31
10.32,58.97
10.35,58.39
10.38,58.98
10.42,58.42
10.46,58.98
10.50,58.39
10.53,58.97
10.56,58.39
10.59,58.96
10.62,58.38
10.66,58.93
10.69,58.34
10.72,58.93
10.75,58.37
10.78,58.95
10.83,58.38
10.86,58.98
10.90,58.40
10.93,59.18
10.96,58.59
10.99,59.35
11.02,58.75
11.06,59.35
11.09,58.74
11.12,59.31
11.17,58.73
11.20,59.31
11.23,58.73
11.26,59.38
11.30,58.79
11.33,59.36
11.36,58.78
11.39,59.37
11.42,58.80
11.46,59.36
11.49,58.78
11.53,59.35
11.57,58.77
11.60,59.34
11.63,58.77
11.66,59.35
11.70,58.75
11.73,59.31
11.76,58.71
11.79,59.33
11.82,58.73
11.86,59.29
11.90,58.71
11.94,59.30
11.97,58.73
12.00,59.37
12.03,58.79
12.06,59.38
12.10,58.78
12.13,59.39
12.16,58.80
12.19,59.39
12.24,58.81
12.27,59.38
12.30,58.81
12.34,59.39
12.37,58.79
12.40,59.40
12.43,58.81
12.46,59.41
12.50,58.81
12.53,59.43
12.56,58.79
12.61,59.18
12.64,58.50
12.67,59.11
12.70,58.52
12.74,59.15
12.77,58.57
12.80,59.14
12.83,58.53
12.86,59.13
12.90,58.54
12.93,59.14
12.97,58.56
13.01,59.15
13.04,58.56
13.07,59.19
13.10,58.61
13.14,118.66
13.17,117.46
13.20,118.64
13.23,117.48
13.26,118.66
13.31,117.50
13.34,118.80
13.38,117.57
13.41,118.84
13.44,117.67
13.47,118.82
13.50,117.62
13.54,118.77
13.57,117.61
13.60,99.02
13.63,117.61
13.68,98.97
13.71,97.99
13.74,98.95
13.78,97.95
13.81,98.97
13.84,98.00
13.87,98.99
13.90,97.95
13.94,98.95
13.97,97.99
14.00,99.00
14.05,98.01
14.08,98.97
14.11,97.96
14.14,98.91
14.18,97.91
14.21,79.12
14.24,78.33
14.27,79.09
14.30,78.29
14.34,79.08
14.38,78.32
14.42,79.13
14.45,78.36
14.48,79.15
14.51,78.37
14.54,79.15
14.58,78.36
14.61,79.12
14.64,78.34
14.67,79.12
14.70,78.33
14.75,79.08
14.78,78.26
14.82,79.07
14.85,78.27
14.88,79.05
14.91,78.27
14.94,79.08
14.98,78.31
15.01,79.12
15.04,78.21
15.07,79.04
15.12,78.25
15.15,79.05
15.18,78.25
15.22,59.28
15.25,58.71
15.28,59.27
15.31,58.68
15.34,59.29
15.38,58.71
15.41,59.28
15.45,58.71
15.49,59.24
15.52,58.66
15.55,59.25
15.58,58.67
15.62,59.25
15.65,58.67
15.68,59.26
15.71,58.66
15.74,59.23
15.78,58.65
15.82,118.47
15.86,117.32
15.89,118.60
15.92,117.40
15.95,119.10
15.98,117.89
16.02,119.07
16.05,117.90
16.08,119.07
16.11,117.85
16.14,119.09
16.19,117.88
16.22,119.07
16.26,117.90
16.29,119.07
16.32,117.92
16.35,119.11
16.38,117.92
16.42,119.10
16.45,117.95
16.48,119.14
16.53,117.97
16.56,119.12
16.59,117.95
16.62,119.10
16.66,117.91
16.69,158.80
16.72,117.93
16.75,158.70
16.78,157.11
16.82,158.68
16.85,157.12
16.89,158.62
16.93,157.01
16.96,158.58
16.99,156.94
17.02,158.59
17.06,156.93
17.09,158.56
17.12,156.98
17.15,158.51
17.18,156.90
17.22,158.51
17.26,156.90
17.30,158.41
17.33,156.88
17.36,158.51
17.39,156.94
17.42,158.48
17.46,156.93
17.49,158.51
17.52,58.69
17.55,59.11
17.60,58.44
17.63,59.04
17.66,58.46
17.70,59.04
17.73,58.45
17.76,59.03
17.79,58.43
17.82,59.02
17.86,58.42
17.89,59.01
17.92,58.39
17.97,58.98
18.00,58.38
18.03,58.99
18.06,58.37
18.10,59.00
18.13,58.43
18.16,59.00
18.19,58.39
18.22,58.97
18.26,58.35
18.29,58.91
18.33,58.33
18.37,137.66
18.40,136.34
18.43,118.07
18.46,116.88
18.50,118.03
18.53,116.87
18.56,118.00
18.59,116.83
18.62,118.01
18.67,116.82
18.70,117.91
18.74,116.75
18.77,117.88
18.80,116.73
18.83,98.31
18.86,97.38
18.90,98.33
18.93,97.35
18.96,98.31
18.99,97.35
19.04,98.34
19.07,97.36
19.10,98.36
19.14,97.37
19.17,98.34
19.20,97.35
19.23,98.36
19.26,97.42
19.30,98.44
19.33,97.45
19.37,98.41
19.41,97.45
19.44,78.76
19.47,77.99
19.50,78.80
19.54,78.00
19.57,78.71
19.60,77.93
19.63,78.69
19.66,77.93
19.70,78.71
19.74,77.92
19.78,78.66
19.81,77.88
19.84,78.63
19.87,77.89
19.90,78.69
19.94,77.91
19.97,78.66
20.00,77.90
20.03,59.01
20.06,58.41
20.11,59.02
20.14,58.43
20.18,59.02
20.21,58.42
20.24,59.04
20.27,58.46
20.30,59.07
20.34,58.47
20.37,59.09
20.40,58.51
20.45,59.07
20.48,58.50
20.51,59.04
20.54,58.43
20.58,59.02
20.61,58.44
20.64,59.01
20.67,58.43
20.70,59.01
20.74,58.42
20.77,59.02
20.81,58.44
20.85,59.18
20.88,58.59
20.91,59.43
20.94,58.85
20.98,59.42
21.01,58.84
21.04,59.42
21.07,58.83
21.10,59.44
21.14,58.84
21.18,59.43
21.22,58.83
21.25,59.43
21.28,58.84
21.31,59.44
21.34,58.85
21.38,59.44
21.41,58.86
21.44,99.08
21.47,98.08
21.52,99.13
21.55,98.15
21.58,99.20
21.62,98.13
21.65,99.16
21.68,98.14
21.71,99.10
21.74,98.13
21.78,99.13
21.81,98.16
21.84,99.20
21.89,98.20
21.92,99.17
21.95,98.20
21.98,99.23
22.02,98.20
22.05,99.22
22.08,98.25
22.11,99.25
22.14,98.24
22.18,99.17
22.21,98.20
22.25,99.21
22.29,98.24
22.32,99.21
22.35,98.21
22.38,99.23
22.42,98.19
22.45,99.18
22.48,98.19
22.51,99.21
22.54,98.22
22.59,99.15
22.62,98.21
22.66,99.16
22.69,97.91
22.72,78.88
22.75,78.02
22.78,59.08
22.82,58.51
22.85,59.11
22.88,58.53
22.91,59.14
22.96,58.56
22.99,59.09
23.02,58.52
23.06,59.12
23.09,58.54
23.12,59.11
23.15,58.52
23.18,59.13
23.22,58.54
23.25,59.09
23.28,58.51
23.33,59.12
23.36,58.52
23.39,59.11
23.42,58.49
23.46,59.08
23.49,58.48
23.52,59.06
23.55,58.49
23.58,59.07
23.62,58.46
23.66,59.08
23.70,58.47
23.73,59.01
23.76,58.44
23.79,59.01
23.82,58.42
23.86,59.07
23.89,58.48
23.92,59.08
23.95,58.50
23.98,59.09
24.03,58.52
24.06,59.08
24.10,58.50
24.13,59.09
24.16,58.51
24.19,59.13
24.22,58.54
24.26,59.11
24.29,58.54
24.32,59.13
24.35,58.55
24.40,59.12
24.43,58.54
24.46,59.13
24.50,58.55
24.53,59.16
24.56,58.55
24.59,78.86
24.62,78.05
24.66,78.86
24.69,78.06
24.73,78.87
24.77,78.07
24.80,78.87
24.83,78.08
24.86,78.85
24.90,78.08
24.93,78.93
24.96,78.15
24.99,78.91
25.02,78.11
25.06,78.87
25.10,78.10
25.14,78.87
25.17,78.09
25.20,78.86
25.23,78.09
25.26,78.82
25.30,78.02
25.33,98.53
25.36,97.53
25.39,98.47
25.42,97.48
25.47,98.48
25.50,97.50
25.54,98.46
25.57,97.50
25.60,98.45
25.63,97.47
25.66,98.46
25.70,97.50
25.73,98.51
25.76,97.55
25.81,98.54
25.84,97.56
25.87,98.54
25.90,97.56
25.94,98.52
25.97,97.46
26.00,98.72
26.03,97.75
26.06,99.09
26.10,98.11
26.13,59.46
26.17,58.87
26.21,59.42
26.24,58.82
26.27,59.41
26.30,58.83
26.34,59.44
26.37,58.84
26.40,59.44
26.43,58.84
26.46,59.45
26.50,58.77
26.54,59.13
26.58,58.49
26.61,59.07
26.64,58.47
26.67,59.07
26.70,58.50
26.74,59.12
26.77,58.53
26.80,59.11
26.83,58.53
26.88,59.14
26.91,58.53
26.94,59.16
26.98,58.56
27.01,59.15
27.04,58.55
27.07,59.15
27.10,58.57
27.14,59.18
27.17,58.60
27.20,59.18
27.25,58.59
27.28,59.16
27.31,58.58
27.34,59.14
27.38,58.54
27.41,59.13
27.44,58.49
27.47,59.06
27.50,58.49
27.54,59.07
27.57,58.48
27.61,59.07
27.65,58.47
27.68,59.01
27.71,58.41
27.74,59.00
27.78,58.41
27.81,58.98
27.84,58.41
27.87,59.00
27.90,58.40
27.95,59.00
27.98,58.42
28.02,59.01
28.05,58.43
28.08,59.04
28.11,58.46
28.14,59.03
28.18,58.45
28.21,59.02
28.24,58.42
28.27,58.98
28.32,58.39
28.35,59.01
28.38,58.45
28.42,59.04
28.45,58.44
28.48,59.02
28.51,58.45
28.54,58.99
28.58,58.41
28.61,59.05
28.64,58.47
28.69,59.07
28.72,58.49
28.75,98.43
28.78,97.39
28.82,98.36
28.85,97.37
28.88,98.29
28.91,97.27
28.94,98.23
28.98,97.22
29.02,98.14
29.06,97.19
29.09,98.14
29.12,97.19
29.15,98.13
29.18,97.14
29.22,98.10
29.25,97.12
29.28,98.17
29.31,97.20
