time(s),bpm
8.69,146.05
8.75,148.34
8.82,147.03
8.88,94.35
8.94,93.54
9.02,81.47
9.09,80.74
9.15,82.06
9.22,81.35
9.28,82.62
9.34,81.89
9.42,82.52
9.49,81.77
9.55,82.41
9.62,81.64
9.68,82.29
9.76,81.57
9.82,82.23
9.89,81.51
9.95,82.14
10.02,81.43
10.08,82.71
10.16,81.96
10.22,82.60
10.29,81.86
10.35,82.49
10.42,81.78
10.48,82.41
10.56,81.67
10.62,82.30
10.69,81.56
10.75,82.22
10.82,81.49
10.90,82.03
10.96,81.17
11.02,83.75
11.09,82.98
11.15,83.64
11.22,82.82
11.30,83.51
11.36,82.77
11.42,83.41
11.49,82.67
11.55,83.33
11.62,82.60
11.70,85.97
11.76,85.19
11.82,88.09
11.89,87.28
11.95,88.04
12.03,87.22
12.10,88.67
12.16,87.80
12.22,88.57
12.29,87.73
12.35,88.48
12.43,87.63
12.50,88.45
12.56,87.59
12.62,164.85
12.69,163.26
12.77,78.17
12.83,77.40
12.90,78.17
12.96,77.36
13.02,78.02
13.09,77.25
13.17,77.92
13.23,77.14
13.30,78.51
13.36,77.70
13.42,78.43
13.49,77.62
13.57,78.35
13.63,77.56
13.70,62.59
13.76,77.46
13.82,62.51
13.90,61.87
13.97,62.39
14.03,77.22
14.10,77.92
14.16,77.15
14.22,77.81
14.30,77.03
14.37,77.79
14.43,77.02
14.50,77.70
14.56,76.93
14.62,77.58
14.70,76.81
14.77,77.46
14.83,76.70
14.90,77.37
14.96,76.60
15.04,77.27
15.10,76.49
15.17,77.13
15.23,76.35
15.30,77.02
15.36,76.26
15.44,77.03
15.50,76.26
15.57,76.95
15.63,76.19
15.70,76.96
15.76,76.16
15.84,76.93
15.90,76.18
15.97,76.93
16.03,76.21
16.10,76.88
16.18,76.11
16.24,76.91
16.30,76.14
16.37,76.90
16.43,76.13
16.50,76.88
16.58,76.09
16.64,76.90
16.70,76.16
16.77,76.96
16.83,76.21
16.91,76.98
16.98,76.23
17.04,76.96
17.10,76.20
17.17,77.00
17.23,76.22
17.31,77.01
17.38,76.22
17.44,76.98
17.50,76.23
17.57,77.24
17.63,76.46
17.71,77.30
17.78,76.54
17.84,77.39
17.90,76.63
17.97,77.41
18.05,91.95
18.11,92.84
18.18,91.93
18.24,92.83
18.30,91.92
18.37,92.85
18.45,91.92
18.51,92.83
18.58,91.92
18.64,92.78
18.70,91.87
18.77,92.83
18.85,91.95
18.91,77.38
18.98,91.95
19.04,77.38
19.10,76.62
19.18,77.39
19.25,76.63
19.31,77.41
19.38,76.65
19.44,77.39
19.50,76.62
19.58,77.39
19.65,76.61
19.71,77.36
19.78,76.60
19.84,77.20
19.90,76.35
19.98,77.04
20.05,76.29
20.11,77.08
20.18,76.31
20.24,77.05
20.32,76.30
20.38,77.05
20.45,76.27
20.51,77.06
20.58,91.52
20.64,77.02
20.72,91.46
20.78,92.40
20.85,91.45
20.91,92.37
20.98,91.47
21.06,92.35
21.12,91.45
21.18,92.36
21.25,91.45
21.31,92.38
21.38,91.39
21.46,92.30
21.52,91.37
21.58,92.29
21.65,91.36
21.71,92.31
21.78,91.41
21.86,92.33
21.92,91.41
21.98,92.34
22.05,91.37
22.11,92.34
22.19,91.43
22.26,92.40
22.32,91.49
22.38,77.05
22.45,76.28
22.51,77.04
22.59,76.28
22.66,77.06
22.72,76.29
22.78,77.18
22.85,76.41
22.91,77.15
22.99,61.12
23.06,61.73
23.12,61.11
23.18,61.71
23.25,61.10
23.33,61.72
23.39,61.07
23.46,61.67
23.52,61.05
23.58,61.66
23.65,61.05
23.73,61.66
23.79,61.05
23.86,61.66
23.92,61.06
23.98,61.71
24.05,61.10
24.13,61.70
24.19,61.11
24.26,61.75
24.32,61.08
24.38,61.67
24.46,61.06
24.53,61.64
24.59,60.99
24.66,61.59
24.72,60.98
24.78,61.56
24.86,60.96
24.93,61.54
24.99,60.94
25.06,61.54
25.12,60.93
25.20,61.55
25.26,60.93
25.33,61.56
25.39,60.95
25.46,61.55
25.52,60.93
25.60,61.53
25.66,60.91
25.73,61.54
25.79,60.94
25.86,61.54
25.92,60.94
26.00,61.53
26.06,60.93
26.13,61.54
26.19,60.94
26.26,61.57
26.34,60.94
26.40,61.57
26.46,60.95
26.53,61.79
26.59,61.17
26.66,61.85
26.74,61.25
26.80,61.85
26.86,61.24
26.93,61.82
26.99,61.13
27.06,61.76
27.14,61.13
27.20,61.77
27.26,61.16
27.33,139.10
27.39,137.71
27.47,139.10
27.54,137.74
27.60,139.07
27.66,137.67
27.73,139.10
27.79,137.73
27.87,139.08
27.94,137.71
28.00,123.73
28.06,137.83
28.13,123.75
28.19,122.48
28.27,123.71
28.34,122.50
28.40,123.69
28.46,122.50
28.53,123.73
28.61,122.48
28.67,123.79
28.74,122.57
28.80,123.79
28.86,122.56
28.93,123.78
29.01,122.53
29.07,123.72
29.14,122.51
29.20,123.69
29.26,137.79
29.34,123.68
29.41,137.77
29.47,138.81
29.54,136.84
29.60,138.23
29.66,136.84
29.74,138.29
29.81,136.86
29.87,138.35
29.94,136.99
30.00,138.44
30.06,137.09
30.14,138.44
30.21,137.12
30.27,138.53
30.34,137.18
30.40,138.55
30.48,137.20
30.54,138.62
30.61,137.24
30.67,138.60
30.74,137.25
30.80,138.59
30.88,137.20
30.94,138.72
31.01,137.37
31.07,138.70
31.14,137.34
31.20,138.81
31.28,137.48
31.34,138.89
31.41,137.53
31.47,138.91
31.54,137.53
31.62,138.99
31.68,137.59
31.74,139.07
31.81,137.71
31.87,139.05
31.94,137.71
