time(s),bpm
4.13,54.72
4.16,54.82
4.19,54.33
4.22,54.76
4.26,54.28
4.29,54.68
4.32,54.19
4.35,54.63
4.38,54.15
4.43,54.55
4.46,54.06
4.50,54.50
4.53,54.01
4.56,54.45
4.59,53.96
4.62,54.40
4.66,53.93
4.69,54.34
4.72,53.86
4.77,55.16
4.80,54.68
4.83,55.11
4.86,54.63
4.90,55.18
4.93,54.67
4.96,55.60
5.02,54.68
5.06,63.63
5.09,62.99
5.13,63.58
5.17,62.93
5.20,63.48
5.23,62.81
5.26,63.37
5.30,62.74
5.33,63.31
5.36,62.65
5.39,63.22
5.73,57.94
5.97,55.64
6.00,55.13
6.03,55.58
6.06,55.09
6.13,55.07
6.16,54.59
6.21,55.01
6.24,54.50
6.27,54.93
6.30,54.41
6.34,54.82
6.37,54.33
6.40,54.77
6.43,54.29
6.46,54.71
6.50,54.00
6.54,54.31
6.58,53.80
6.61,54.24
6.64,53.77
6.70,53.77
6.74,53.31
6.77,53.73
6.80,53.26
6.83,53.64
6.86,53.17
6.91,53.56
6.94,53.07
6.98,53.47
7.01,53.01
7.04,53.42
7.07,52.96
7.10,53.39
7.14,52.92
7.17,53.33
7.20,52.86
7.23,53.26
7.28,52.80
7.31,53.18
7.34,52.73
7.38,53.13
7.41,52.65
7.44,53.04
7.47,52.59
7.50,52.99
7.54,52.55
7.57,52.90
7.61,52.47
7.65,52.84
7.68,52.40
7.71,52.78
7.74,52.33
7.78,52.72
7.81,52.25
7.84,52.65
7.87,52.21
7.90,52.61
7.94,52.17
7.98,52.54
8.02,52.08
8.08,52.09
8.18,50.61
8.21,51.01
8.24,50.28
8.27,50.39
8.30,62.09
8.35,50.00
8.38,61.97
8.42,62.46
8.45,61.95
8.48,62.46
8.51,61.95
8.54,62.46
8.58,61.96
8.61,112.46
8.64,62.00
8.69,162.28
8.72,61.91
8.75,62.42
8.78,160.95
8.82,162.16
8.85,61.86
8.88,162.11
8.91,160.83
8.94,162.09
8.98,160.74
9.01,163.25
9.05,161.86
9.09,163.18
9.12,161.85
9.15,62.78
9.18,161.92
9.22,163.25
9.25,62.29
9.28,163.24
9.31,161.89
9.34,163.25
9.38,161.86
9.42,53.66
9.46,53.21
9.49,56.24
9.52,55.73
9.55,56.20
9.58,55.70
9.62,56.68
9.65,56.09
9.68,56.66
9.71,56.15
9.76,56.71
9.79,56.18
9.82,56.72
9.86,56.21
9.89,56.71
9.92,56.20
9.95,56.99
9.98,56.44
10.02,57.13
10.05,56.60
10.08,57.13
10.38,66.52
10.42,67.48
10.45,66.76
10.49,67.30
10.53,66.70
10.56,67.30
10.59,66.72
10.62,67.38
10.66,66.79
10.69,67.37
10.72,66.78
10.75,67.38
10.78,66.78
10.83,67.36
10.86,66.79
