time(s),bpm
4.13,52.26
4.16,52.79
4.19,52.29
4.22,52.85
4.26,52.39
4.29,52.82
4.32,52.35
4.35,52.74
4.38,52.28
4.43,52.68
4.46,52.18
4.50,52.59
4.53,52.11
4.56,52.54
4.59,52.09
4.62,52.48
4.66,52.00
4.69,52.43
4.72,51.98
4.77,53.24
4.80,52.74
4.83,53.15
4.86,52.68
4.90,53.11
4.93,52.63
4.96,53.45
5.02,52.58
5.06,61.14
5.09,60.52
5.13,61.04
5.17,60.43
5.20,60.97
5.23,60.36
5.26,60.88
5.30,60.26
5.33,60.79
5.36,60.18
5.39,60.72
5.73,55.65
5.97,53.39
6.00,52.88
6.03,53.28
6.06,52.81
6.13,52.79
6.16,52.34
6.21,52.75
6.24,52.27
6.27,52.65
6.30,52.18
6.34,52.60
6.37,52.13
6.40,52.55
6.43,52.08
6.46,52.54
6.50,52.07
6.54,52.54
6.58,52.06
6.61,52.46
6.64,51.99
6.70,51.99
6.74,51.52
6.77,51.94
6.80,51.48
6.83,51.90
6.86,51.44
6.91,51.85
6.94,51.39
6.98,51.79
7.01,51.34
7.04,51.72
7.07,51.27
7.10,51.67
7.14,51.23
7.17,51.62
7.20,51.18
7.23,51.58
7.28,51.13
7.31,51.53
7.34,51.08
7.38,51.48
7.41,51.03
7.44,51.51
7.47,51.06
7.50,51.44
7.54,51.00
7.57,51.39
7.61,50.94
7.65,51.35
7.68,50.92
7.71,51.32
7.74,50.88
7.78,51.27
7.81,50.84
7.84,51.23
7.87,50.79
7.90,51.16
7.94,50.72
7.98,51.10
8.02,50.66
8.08,50.63
8.18,98.89
8.21,99.94
8.24,66.06
8.27,99.94
8.30,66.06
8.35,66.61
8.38,66.03
8.42,66.58
8.45,66.00
8.48,66.61
8.51,66.04
8.54,66.59
8.58,66.01
8.61,66.54
8.64,115.47
8.69,116.44
8.72,65.99
8.75,116.43
8.78,65.98
8.82,66.52
8.85,115.44
8.88,116.34
8.91,65.93
8.94,116.31
8.98,65.90
9.01,117.09
9.05,66.26
9.09,116.96
9.12,149.09
9.15,150.31
9.18,148.84
9.22,149.73
9.25,65.85
9.28,132.83
9.31,65.85
9.34,132.79
9.38,131.68
9.42,124.48
9.46,123.36
9.49,130.89
9.52,129.68
9.55,56.11
9.58,55.59
9.62,56.56
9.65,56.01
9.68,56.58
9.71,56.05
9.76,56.63
9.79,56.08
9.82,56.61
9.86,56.05
9.89,56.57
9.92,56.03
9.95,56.57
9.98,56.05
10.02,56.60
10.05,74.75
10.08,75.50
10.38,70.13
10.42,71.38
10.45,70.73
10.49,71.37
10.53,70.73
10.56,71.35
10.59,70.70
10.62,71.35
10.66,70.70
10.69,71.35
10.72,70.72
10.75,71.38
10.78,70.75
10.83,71.37
10.86,70.75
10.90,71.38
10.93,70.75
10.96,71.37
10.99,70.74
11.02,71.42
11.06,70.80
11.09,71.45
11.12,70.82
11.15,71.46
11.23,70.24
11.26,70.88
11.30,70.25
11.33,70.88
11.36,70.27
11.49,69.23
11.52,68.63
11.57,69.24
11.60,68.63
11.63,69.22
11.66,68.63
11.70,69.24
11.73,68.60
11.76,69.25
11.79,68.61
11.82,69.22
11.86,68.61
11.90,70.93
11.94,70.28
11.97,70.95
12.00,70.32
12.03,70.95
12.06,70.31
12.10,70.96
12.13,105.48
12.16,106.49
12.19,105.54
12.22,106.51
12.27,105.57
12.30,106.63
12.34,105.63
12.37,106.58
12.40,105.63
12.43,106.63
12.46,105.67
12.50,106.66
12.53,105.67
12.56,106.67
12.59,105.70
12.64,106.70
12.67,105.73
12.70,106.75
12.74,105.81
12.77,106.93
12.80,105.98
12.83,106.93
12.86,105.98
12.90,107.13
12.93,106.18
12.97,107.63
13.01,106.67
13.04,107.67
13.07,106.73
13.10,107.67
13.14,53.36
13.17,53.83
13.20,53.35
13.23,53.82
13.26,53.32
13.30,53.78
13.34,53.29
13.38,53.83
13.41,53.34
13.44,53.78
13.47,53.29
13.50,53.79
13.54,53.29
13.57,53.80
13.60,53.32
13.63,53.81
13.66,53.34
13.71,53.80
13.74,53.32
13.78,53.81
13.81,53.31
13.84,57.43
13.87,56.87
13.90,57.44
13.94,56.89
13.97,57.42
14.00,56.84
14.05,57.43
14.08,56.86
14.11,57.43
14.14,56.88
14.18,57.43
14.21,56.86
14.24,57.42
14.30,56.86
14.37,57.38
14.45,56.84
14.51,57.39
14.57,56.85
14.64,57.42
14.70,56.83
14.78,57.37
14.85,56.35
14.91,56.79
14.97,56.25
15.04,133.74
15.10,132.45
15.18,133.69
15.25,132.43
15.31,133.70
15.37,132.39
15.44,137.11
15.50,135.67
15.58,137.05
15.65,135.72
15.71,137.08
15.77,135.64
15.84,137.04
15.92,135.71
15.98,137.09
16.05,135.76
16.11,137.16
16.17,135.81
16.24,137.14
16.32,135.81
16.38,137.14
16.45,135.76
16.51,137.12
16.57,135.74
16.64,137.18
16.72,135.81
16.85,135.89
16.91,57.68
16.97,58.20
22.25,57.36
22.33,57.71
22.40,57.37
22.46,57.71
22.53,57.38
22.65,57.41
22.73,57.06
22.80,57.41
22.86,57.09
24.46,51.37
24.53,51.10
24.61,51.37
25.81,56.90
25.87,57.17
25.93,56.89
26.00,57.17
26.06,56.89
26.14,57.17
26.21,56.89
26.27,57.15
26.33,56.87
26.40,57.16
26.48,56.89
26.54,57.14
26.61,56.87
26.67,57.11
26.73,56.83
26.80,57.11
26.88,56.84
26.94,57.13
27.01,56.85
27.07,57.14
27.13,56.87
27.21,57.12
27.28,56.84
27.34,57.14
27.41,56.87
27.47,57.14
27.53,56.86
27.61,57.12
27.68,56.84
27.74,57.11
27.81,56.83
27.87,57.11
27.93,56.83
28.01,57.11
28.08,56.84
28.14,57.13
28.21,56.85
28.27,57.12
28.35,56.84
28.41,57.13
28.48,56.85
28.54,57.13
28.61,56.86
28.67,57.13
28.75,56.85
28.81,57.14
28.88,56.87
28.94,57.13
29.01,56.85
29.07,57.14
29.15,56.87
29.21,57.13
29.34,56.62
29.41,56.90
29.49,56.62
29.55,57.13
29.61,56.85
29.68,142.89
29.74,142.16
29.81,142.86
29.89,142.16
29.95,142.84
31.42,51.65
31.62,50.91
31.65,50.68
31.73,50.73
31.76,50.52
31.79,50.72
31.82,50.51
31.89,50.54
31.92,50.32
31.95,50.54
