time(s),bpm
5.62,63.39
5.66,64.60
5.70,63.91
5.73,65.11
5.76,64.44
5.79,65.08
5.83,64.37
5.86,64.95
5.89,64.28
5.92,64.92
5.95,64.23
5.99,64.88
6.03,64.21
6.07,64.84
6.10,64.17
6.13,64.87
6.16,64.22
6.19,64.84
6.23,64.13
6.26,64.73
6.29,64.07
6.32,64.71
6.35,64.03
6.40,64.64
6.43,63.96
6.47,64.57
6.50,63.90
6.53,64.46
6.56,63.81
6.59,64.37
6.63,63.68
6.66,64.30
6.69,63.59
6.74,64.20
6.77,63.53
6.80,64.10
6.83,63.43
6.87,64.01
6.90,63.34
6.93,63.91
6.96,63.22
6.99,63.81
7.03,63.00
7.06,63.42
7.10,62.70
7.14,63.26
7.17,62.63
7.20,63.19
7.23,62.50
7.27,63.07
7.30,62.44
7.33,63.01
7.36,62.38
7.39,62.97
7.43,62.33
7.47,62.89
7.51,62.26
7.54,62.75
7.57,62.11
7.60,62.73
7.63,62.11
7.67,62.67
7.70,62.03
7.73,62.58
7.76,61.93
7.81,62.45
7.84,61.84
7.87,62.37
7.91,61.75
7.94,62.25
7.97,61.63
8.00,62.20
8.03,61.56
8.07,62.12
8.10,61.49
8.13,62.03
8.18,61.38
8.21,61.94
8.24,61.31
8.27,61.83
8.31,61.21
8.34,61.75
8.37,61.14
8.40,61.58
8.43,60.94
8.47,61.51
8.50,60.88
8.54,61.45
8.58,60.83
8.61,61.45
8.64,60.86
8.67,61.47
8.71,60.84
8.74,61.39
8.77,60.75
8.80,61.27
8.83,60.67
8.88,61.21
8.91,60.59
8.95,61.10
8.98,60.49
9.01,61.13
9.04,60.50
9.07,61.10
9.11,60.50
9.14,61.11
9.17,60.50
9.20,61.08
9.25,60.48
9.28,61.07
9.31,60.47
9.35,61.03
9.38,60.43
9.41,61.02
9.44,60.39
9.47,60.99
9.51,60.40
9.54,60.97
9.57,60.37
9.62,60.93
9.65,60.32
9.68,60.87
9.71,60.26
9.75,60.86
9.78,60.25
9.81,60.84
9.84,60.24
9.87,60.82
9.91,60.18
9.95,60.83
9.99,60.22
10.02,60.84
10.05,60.24
10.08,60.80
10.11,60.22
10.15,60.85
10.18,60.26
10.21,60.84
10.24,60.25
10.27,60.86
10.32,60.22
10.35,60.94
10.39,60.34
10.42,61.16
10.45,60.57
10.48,61.16
10.51,60.53
10.55,61.20
10.58,60.56
10.61,61.16
10.64,60.54
10.69,61.14
10.72,60.54
10.75,61.14
10.79,60.50
10.82,61.09
10.85,60.49
10.88,61.19
10.91,60.59
10.95,61.13
10.98,60.52
11.02,61.11
11.06,60.48
11.09,61.11
11.12,60.51
11.15,61.09
11.19,60.49
11.22,61.11
11.25,60.49
11.28,61.12
11.31,60.51
11.35,61.12
11.39,60.51
11.43,61.09
11.46,60.47
11.52,61.08
11.58,60.49
11.65,61.05
11.71,60.46
11.79,61.06
11.86,60.46
11.92,61.05
11.98,60.44
12.05,60.99
12.13,60.32
12.19,60.90
12.26,60.28
12.32,60.92
12.38,60.32
12.45,60.89
12.53,60.29
12.59,60.90
12.66,60.32
12.72,60.90
12.78,60.32
12.85,60.89
12.93,60.31
12.99,60.91
13.06,60.30
13.12,60.94
13.18,60.33
13.26,60.94
13.33,60.35
13.39,60.96
13.46,60.35
13.52,76.18
13.58,75.43
13.66,76.19
13.73,75.43
13.79,76.21
13.86,75.45
13.92,76.21
13.98,75.45
14.06,76.21
14.13,75.47
14.19,76.19
14.26,75.45
14.32,76.24
14.40,75.50
14.46,76.31
14.53,75.56
14.59,76.37
14.66,75.59
14.72,76.37
14.80,75.60
14.86,76.31
14.93,75.55
14.99,76.38
15.06,75.61
15.12,61.11
15.20,60.53
15.26,61.13
15.33,60.53
15.39,61.13
15.46,60.54
15.54,61.13
15.60,60.51
15.66,61.16
15.73,60.52
15.79,61.16
15.86,60.55
15.94,61.17
16.00,60.55
16.06,61.16
16.13,60.53
16.19,61.16
16.27,60.55
16.34,61.18
16.40,60.58
16.46,61.19
16.53,60.58
16.59,61.16
16.67,60.56
16.74,61.23
16.80,60.60
16.86,61.23
16.93,60.60
16.99,61.20
17.07,60.60
17.14,61.26
17.20,60.64
17.26,61.32
17.33,75.90
17.41,76.63
17.47,75.88
17.54,76.66
17.60,75.91
17.66,76.67
17.73,75.94
17.81,76.71
17.87,75.94
17.94,92.05
18.00,91.12
18.06,92.09
18.13,91.17
18.21,92.11
18.27,91.18
18.34,92.14
18.40,91.26
18.46,92.17
18.54,91.28
18.61,92.20
18.67,91.30
18.74,92.65
18.80,91.73
18.86,92.72
18.94,91.80
19.01,92.72
19.07,91.54
19.14,92.35
19.20,91.35
19.26,92.24
19.34,91.29
19.41,92.26
19.47,91.31
19.54,92.25
19.60,91.35
19.68,92.28
19.74,91.38
19.81,92.30
19.87,91.41
19.94,92.30
20.00,91.39
20.08,92.26
20.14,91.36
20.21,92.27
20.27,91.37
20.34,92.32
20.42,91.42
20.48,92.30
20.54,106.65
20.61,92.35
20.67,106.69
20.74,107.77
20.82,106.75
20.88,107.75
20.94,106.67
21.01,107.72
21.07,106.64
21.14,107.77
21.22,106.66
21.28,107.71
21.34,106.66
21.41,107.70
21.47,106.65
21.55,107.81
21.62,106.71
21.68,107.75
21.74,106.67
21.81,107.71
21.87,106.64
21.95,107.71
22.02,106.63
22.08,107.66
22.14,106.57
22.21,107.64
22.27,106.61
22.35,107.66
22.42,106.59
22.48,107.60
22.54,106.49
22.61,107.52
22.69,106.40
22.75,107.48
22.82,106.33
22.88,107.32
22.94,106.13
23.01,107.08
