time(s),bpm
5.62,60.90
5.66,62.06
5.70,61.39
5.73,62.55
5.76,61.88
5.79,62.46
5.83,61.81
5.86,62.36
5.89,61.70
5.92,62.29
5.95,61.62
5.99,62.21
6.03,61.57
6.07,62.12
6.10,61.48
6.13,62.05
6.16,61.39
6.19,61.95
6.23,61.28
6.26,61.85
6.29,61.20
6.32,61.80
6.35,61.15
6.40,61.69
6.43,61.02
6.47,61.54
6.50,60.90
6.53,61.49
6.56,60.82
6.59,61.40
6.63,60.73
6.66,61.32
6.69,60.67
6.74,61.23
6.77,60.61
6.80,61.20
6.83,60.55
6.87,61.08
6.90,60.44
6.93,61.01
6.96,60.37
6.99,60.96
7.03,60.31
7.06,60.86
7.10,60.25
7.14,60.80
7.17,60.15
7.20,60.70
7.23,60.07
7.27,60.63
7.30,60.00
7.33,60.54
7.36,59.94
7.39,60.49
7.43,59.84
7.47,60.36
7.51,59.74
7.54,60.30
7.57,59.68
7.60,60.25
7.63,59.63
7.67,60.20
7.70,59.59
7.73,60.10
7.76,59.49
7.81,59.99
7.84,59.40
7.87,59.89
7.91,59.31
7.94,59.85
7.97,59.25
8.00,59.77
8.03,59.18
8.07,59.76
8.10,59.13
8.13,59.68
8.18,59.09
8.21,59.62
8.24,59.02
8.27,59.54
8.31,58.96
8.34,59.51
8.37,58.91
8.40,59.44
8.43,58.85
8.47,59.44
8.50,58.83
8.54,59.34
8.58,58.75
8.61,59.22
8.64,58.64
8.67,59.13
8.71,58.54
8.74,59.05
8.77,58.48
8.80,58.99
8.83,58.42
8.88,58.92
8.91,58.32
8.95,58.83
8.98,58.24
9.01,58.82
9.04,58.23
9.07,58.78
9.11,58.20
9.14,58.78
9.17,58.19
9.20,58.82
9.25,58.23
9.28,58.85
9.31,58.27
9.35,58.84
9.38,58.23
9.41,58.82
9.44,58.23
9.47,58.81
9.51,58.22
9.54,58.80
9.57,58.21
9.62,58.80
9.65,58.22
9.68,58.81
9.71,58.24
9.75,58.68
9.78,57.94
9.81,58.53
9.84,57.96
9.87,58.56
9.91,57.98
9.95,58.55
9.99,57.99
10.02,58.58
10.05,57.99
10.08,58.57
10.11,57.99
10.15,58.55
10.18,57.98
10.21,58.58
10.24,57.97
10.27,58.57
10.32,58.01
10.35,58.60
10.39,58.04
10.42,58.59
10.45,58.02
10.48,58.63
10.51,58.04
10.55,58.64
10.58,58.07
10.61,58.66
10.64,58.08
10.69,58.66
10.72,58.08
10.75,58.71
10.79,58.12
10.82,58.71
10.85,58.12
10.88,58.69
10.91,58.12
10.95,58.67
10.98,58.08
11.02,58.66
11.06,58.08
11.09,58.68
11.12,58.11
11.15,58.72
11.19,58.13
11.22,58.72
11.25,58.06
11.28,58.65
11.31,58.09
11.35,58.65
11.39,58.06
11.43,58.65
11.46,58.08
11.52,58.64
11.58,58.07
11.65,58.65
11.71,58.05
11.79,58.62
11.86,58.03
11.92,58.64
11.98,58.03
12.05,58.59
12.13,58.00
12.19,58.53
12.26,57.97
12.32,58.56
12.38,57.97
12.45,58.57
12.53,57.99
12.59,58.59
12.66,58.01
12.72,58.58
12.78,57.98
12.85,58.55
12.93,57.97
12.99,58.53
13.06,57.93
13.12,58.53
13.18,57.94
13.26,58.56
13.33,57.97
13.39,58.57
13.46,58.00
13.52,78.12
13.58,77.37
13.66,78.15
13.73,77.37
13.79,78.03
13.86,77.26
13.92,78.04
13.98,77.26
14.06,78.06
14.13,77.28
14.19,78.08
14.26,77.33
14.32,78.09
14.40,77.33
14.46,78.10
14.53,77.33
14.59,78.06
14.66,77.30
14.72,78.51
14.80,77.72
14.86,78.48
14.93,77.72
14.99,78.51
15.06,77.74
15.12,58.85
15.20,58.24
15.26,58.84
15.33,58.26
15.39,58.84
15.46,58.25
15.54,58.85
15.60,58.26
15.66,58.90
15.73,58.32
15.79,58.88
15.86,58.29
15.94,58.87
16.00,58.30
16.06,58.88
16.13,58.28
16.19,58.88
16.27,58.32
16.34,58.91
16.40,58.34
16.46,58.93
16.53,58.34
16.59,58.90
16.67,58.34
16.74,58.91
16.80,58.32
16.86,58.87
16.93,58.31
16.99,58.90
17.07,58.29
17.14,58.89
17.20,58.32
17.26,58.88
17.33,58.32
17.41,78.54
17.47,77.74
17.54,78.53
17.60,77.76
17.66,78.64
17.73,77.87
17.81,78.41
17.87,77.52
17.94,78.29
18.00,77.54
18.06,78.30
18.13,77.52
18.21,78.31
18.27,96.94
18.34,97.94
18.40,97.01
18.46,98.02
18.54,96.97
18.61,97.99
18.67,97.00
18.74,98.03
18.80,97.02
18.86,98.05
18.94,97.10
19.01,98.08
19.07,97.08
19.14,98.10
19.20,97.11
19.26,98.09
19.34,97.13
19.41,98.10
19.47,97.15
19.54,98.15
19.60,97.19
19.68,98.26
19.74,97.29
19.81,98.29
19.87,97.29
19.94,98.28
20.00,97.29
20.08,98.23
20.14,97.23
20.21,98.20
20.27,97.22
20.34,98.17
20.42,97.21
20.48,98.32
20.54,97.33
20.61,98.35
20.67,97.39
20.74,98.35
20.82,97.40
20.88,98.33
20.94,97.37
21.01,98.34
21.07,97.32
21.14,98.26
21.22,97.27
21.28,98.23
21.34,97.27
21.41,98.29
21.47,97.32
21.55,98.25
21.62,97.29
21.68,98.27
21.74,97.28
21.81,98.37
21.87,97.28
21.95,98.25
22.02,116.72
22.08,117.90
22.14,116.80
22.21,117.96
22.27,116.82
22.35,117.94
22.42,116.74
22.48,117.94
22.54,116.77
22.61,117.92
22.69,116.61
22.75,117.88
22.82,116.73
22.88,117.82
22.94,58.31
23.01,58.88
23.09,58.31
23.15,58.89
23.22,58.33
23.28,58.89
23.34,58.32
23.41,58.91
23.49,58.32
23.55,58.89
23.62,58.31
23.68,58.84
23.74,58.27
23.82,58.88
23.89,58.29
23.95,58.88
24.02,58.29
24.08,58.89
24.14,58.30
24.22,58.85
24.29,58.27
24.35,58.86
24.42,58.27
24.48,59.09
24.56,58.51
24.62,59.12
24.69,58.51
24.75,59.12
24.82,58.53
24.88,59.10
24.96,58.50
25.02,59.09
25.09,58.49
25.15,59.14
25.22,58.56
25.28,59.13
25.36,58.52
25.42,59.14
25.49,58.52
25.55,59.08
25.62,58.49
25.70,59.11
25.76,58.51
25.82,59.08
25.89,58.50
25.95,59.09
26.02,58.49
26.10,59.06
26.16,58.48
26.22,59.06
26.29,58.46
26.35,59.03
26.42,58.45
26.50,59.03
26.56,58.45
26.62,59.04
26.69,58.45
26.75,59.10
26.83,58.50
26.90,59.10
26.96,58.51
27.02,59.11
27.09,58.51
27.15,59.12
27.23,58.54
27.30,59.13
27.36,58.54
27.42,59.15
27.49,58.56
27.55,59.16
27.63,58.57
27.70,59.20
27.76,58.62
27.82,59.24
27.89,58.62
27.97,59.22
28.03,58.43
28.10,58.88
28.16,58.30
28.22,58.91
28.29,58.31
28.37,58.89
28.43,58.30
28.50,58.95
28.56,58.35
28.62,58.94
28.70,58.36
28.77,58.89
28.83,58.29
28.90,58.86
28.96,58.29
29.02,58.84
29.10,58.27
29.17,58.85
29.23,58.27
29.30,78.57
29.36,58.34
29.42,78.51
29.50,77.76
29.57,78.54
29.63,77.77
29.70,78.55
29.76,77.76
29.84,78.49
29.90,77.72
29.97,78.48
30.03,77.72
30.10,78.51
30.16,58.30
